LL,FC,SC,ρnorm,ωnorm,C,T,η/Civ,qu,CEM
28.5,99.2,0.8,0.930481283,1,3,28,22.122,1167,II
28.5,99.2,0.8,0.930481283,1,3,28,22.122,1114,II
28.5,99.2,0.8,0.930481283,1,3,28,22.122,1060,II
28.5,99.2,0.8,0.903743316,1,3,28,23.961,781,II
28.5,99.2,0.8,0.898395722,1,3,28,24.342,634,II
28.5,99.2,0.8,0.903743316,1,3,28,23.961,888,II
28.5,99.2,0.8,0.855614973,1,3,28,27.56,729,II
28.5,99.2,0.8,0.855614973,1,3,28,27.56,611,II
28.5,99.2,0.8,0.855614973,1,3,28,27.56,521,II
28.5,99.2,0.8,0.909090909,0.763888889,3,28,23.584,1119,II
28.5,99.2,0.8,0.909090909,0.763888889,3,28,23.584,1174,II
28.5,99.2,0.8,0.909090909,0.763888889,3,28,23.584,1036,II
28.5,99.2,0.8,0.903743316,0.868055556,3,28,23.961,1033,II
28.5,99.2,0.8,0.903743316,0.868055556,3,28,23.961,933,II
28.5,99.2,0.8,0.914438503,0.868055556,3,28,23.212,866,II
28.5,99.2,0.8,0.909090909,1.145833333,3,28,23.584,766,II
28.5,99.2,0.8,0.909090909,1.145833333,3,28,23.584,712,II
28.5,99.2,0.8,0.914438503,1.145833333,3,28,23.212,776,II
28.5,99.2,0.8,0.909090909,1.25,3,28,23.584,785,II
28.5,99.2,0.8,0.909090909,1.25,3,28,23.584,741,II
28.5,99.2,0.8,0.909090909,1.25,3,28,23.584,672,II
28.5,99.2,0.8,0.973262032,1,6,28,10.06,2440,II
28.5,99.2,0.8,0.973262032,1,6,28,10.06,2534,II
28.5,99.2,0.8,0.973262032,1,6,28,10.06,2719,II
28.5,99.2,0.8,0.935828877,1,6,28,11.283,2284,II
28.5,99.2,0.8,0.930481283,1,6,28,11.466,2078,II
28.5,99.2,0.8,0.930481283,1,6,28,11.466,2298,II
28.5,99.2,0.8,0.898395722,1,6,28,12.608,1413,II
28.5,99.2,0.8,0.898395722,1,6,28,12.608,1512,II
28.5,99.2,0.8,0.855614973,1,6,28,14.265,1099,II
28.5,99.2,0.8,0.85026738,1,6,28,14.483,1125,II
28.5,99.2,0.8,0.85026738,1,6,28,14.483,987,II
28.5,99.2,0.8,0.903743316,0.763888889,6,28,12.412,1811,II
28.5,99.2,0.8,0.909090909,0.763888889,6,28,12.219,1549,II
28.5,99.2,0.8,0.898395722,0.868055556,6,28,12.608,1551,II
28.5,99.2,0.8,0.903743316,0.868055556,6,28,12.412,1720,II
28.5,99.2,0.8,0.903743316,1.145833333,6,28,12.412,1562,II
28.5,99.2,0.8,0.903743316,1.145833333,6,28,12.412,1413,II
28.5,99.2,0.8,0.903743316,1.145833333,6,28,12.412,1107,II
28.5,99.2,0.8,0.903743316,1.25,6,28,12.412,1266,II
28.5,99.2,0.8,0.903743316,1.25,6,28,12.412,1443,II
28.5,99.2,0.8,0.898395722,1.25,6,28,12.608,1181,II
0,1,99,0.989053093,0.838709677,5,1,11.37687,2030.374,I
0,1,99,0.989053093,0.838709677,5,3,11.37687,3416.844,I
0,1,99,0.989053093,0.838709677,5,5,11.37687,3801.285,I
0,1,99,0.989053093,0.838709677,5,7,11.37687,4144.504,I
0,1,99,0.989053093,0.838709677,5,14,11.37687,4680.391,I
0,1,99,0.989053093,0.838709677,5,28,11.37687,4834.695,I
0,1,99,1,1,5,1,10.97613,1121.361,I
0,1,99,1,1,5,3,10.97613,2446.525,I
0,1,99,1,1,5,5,10.97613,2927.152,I
0,1,99,1,1,5,7,10.97613,3417.293,I
0,1,99,1,1,5,14,10.97613,3662.507,I
0,1,99,1,1,5,28,10.97613,4241.571,I
0,1,99,0.991242474,1.161290323,5,1,11.29601,1053.711,I
0,1,99,0.991242474,1.161290323,5,3,11.29601,1626.297,I
0,1,99,0.991242474,1.161290323,5,5,11.29601,1957.888,I
0,1,99,0.991242474,1.161290323,5,7,11.29601,2183.781,I
0,1,99,0.991242474,1.161290323,5,14,11.29601,2200.685,I
0,1,99,0.991242474,1.161290323,5,28,11.29601,2379.149,I
53.5,40,60,1.009493671,0.978723404,1,1,78.23145,222.9983,II
53.5,40,60,1.018987342,0.962765957,2,1,38.81834,327.2572,II
53.5,40,60,1.029113924,0.941489362,3,1,25.6538,415.1618,II
53.5,40,60,1.038607595,0.925531915,4,1,19.09018,461.1584,II
53.5,40,60,1.048101266,0.904255319,5,1,15.15134,501.0221,II
53.5,40,60,1.009493671,0.978723404,1,7,78.23145,295.5707,II
53.5,40,60,1.018987342,0.962765957,2,7,38.81834,577.6831,II
53.5,40,60,1.029113924,0.941489362,3,7,25.6538,763.7138,II
53.5,40,60,1.038607595,0.925531915,4,7,19.09018,833.2198,II
53.5,40,60,1.048101266,0.904255319,5,7,15.15134,918.0579,II
53.5,40,60,1.009493671,0.978723404,1,14,78.23145,443.7819,II
53.5,40,60,1.018987342,0.962765957,2,14,38.81834,868.9949,II
53.5,40,60,1.029113924,0.941489362,3,14,25.6538,1305.048,II
53.5,40,60,1.038607595,0.925531915,4,14,19.09018,1213.458,II
53.5,40,60,1.048101266,0.904255319,5,14,15.15134,1258.433,II
53.5,40,60,1.009493671,0.978723404,1,28,78.23145,415.0517,II
53.5,40,60,1.018987342,0.962765957,2,28,38.81834,882.2828,II
53.5,40,60,1.029113924,0.941489362,3,28,25.6538,1275.809,II
53.5,40,60,1.038607595,0.925531915,4,28,19.09018,1413.799,II
53.5,40,60,1.048101266,0.904255319,5,28,15.15134,1592.675,II
54,51.1,30.1,1.022346369,0.966292135,3,7,18.47572,1910,II
54,51.1,30.1,1.022346369,0.966292135,3,28,18.47572,2450,II
54,51.1,30.1,1.022346369,0.966292135,3,60,18.47572,2950,II
54,51.1,30.1,1.022346369,0.966292135,3,90,18.47572,2990,II
54,51.1,30.1,1.061452514,0.983146067,6,7,8.478153,3070,II
54,51.1,30.1,1.061452514,0.983146067,6,28,8.478153,3620,II
54,51.1,30.1,1.061452514,0.983146067,6,60,8.478153,4080,II
54,51.1,30.1,1.061452514,0.983146067,6,90,8.478153,4250,II
54,51.1,30.1,1.067039106,1.011235955,9,7,5.766275,3980,II
54,51.1,30.1,1.067039106,1.011235955,9,28,5.766275,4840,II
54,51.1,30.1,1.067039106,1.011235955,9,60,5.766275,5590,II
54,51.1,30.1,1.067039106,1.011235955,9,90,5.766275,5610,II
54,51.1,30.1,1.022346369,0.853932584,3,7,18.47572,1340,II
54,51.1,30.1,1.022346369,0.853932584,3,28,18.47572,1820,II
54,51.1,30.1,1.022346369,0.853932584,3,60,18.47572,1980,II
54,51.1,30.1,1.022346369,0.853932584,3,90,18.47572,1970,II
54,51.1,30.1,1.061452514,0.870786517,6,7,8.478153,2510,II
54,51.1,30.1,1.061452514,0.870786517,6,28,8.478153,2990,II
54,51.1,30.1,1.061452514,0.870786517,6,60,8.478153,3640,II
54,51.1,30.1,1.061452514,0.870786517,6,90,8.478153,3640,II
54,51.1,30.1,1.067039106,0.898876404,9,7,5.766275,3610,II
54,51.1,30.1,1.067039106,0.898876404,9,28,5.766275,4310,II
54,51.1,30.1,1.067039106,0.898876404,9,60,5.766275,5610,II
54,51.1,30.1,1.067039106,0.898876404,9,90,5.766275,5260,II
54,51.1,30.1,1.022346369,1.078651685,3,7,18.47572,720,II
54,51.1,30.1,1.022346369,1.078651685,3,28,18.47572,910,II
54,51.1,30.1,1.022346369,1.078651685,3,60,18.47572,1330,II
54,51.1,30.1,1.022346369,1.078651685,3,90,18.47572,1330,II
54,51.1,30.1,1.061452514,1.095505618,6,7,8.478153,1380,II
54,51.1,30.1,1.061452514,1.095505618,6,28,8.478153,1480,II
54,51.1,30.1,1.061452514,1.095505618,6,60,8.478153,1850,II
54,51.1,30.1,1.061452514,1.095505618,6,90,8.478153,1970,II
54,51.1,30.1,1.067039106,1.123595506,9,7,5.766275,1850,II
54,51.1,30.1,1.067039106,1.123595506,9,28,5.766275,2320,II
54,51.1,30.1,1.067039106,1.123595506,9,60,5.766275,2830,II
54,51.1,30.1,1.067039106,1.123595506,9,90,5.766275,3060,II
50.52,44,26,0.995192308,0.923076923,5,1,7.709289,2993.557,I
50.52,44,26,0.995192308,0.826923077,5,1,7.709289,2786.596,I
50.52,44,26,0.995192308,1.019230769,5,1,7.709289,2610.012,I
50.52,44,26,0.995192308,1.115384615,5,1,7.709289,2308.114,I
50.52,44,26,0.995192308,1.211538462,5,1,7.709289,2061.278,I
50.52,44,26,0.995192308,0.826923077,5,3,7.709289,3733.839,I
50.52,44,26,0.995192308,0.923076923,5,3,7.709289,3595.231,I
50.52,44,26,0.995192308,1.019230769,5,3,7.709289,3293.332,I
50.52,44,26,0.995192308,1.115384615,5,3,7.709289,2792.067,I
50.52,44,26,0.995192308,1.211538462,5,3,7.709289,2662.951,I
50.52,44,26,0.995192308,0.826923077,5,7,7.709289,4118.831,I
50.52,44,26,0.995192308,0.923076923,5,7,7.709289,3830.224,I
50.52,44,26,0.995192308,1.019230769,5,7,7.709289,3786.553,I
